CqF03, B, 0, -inf, -inf, inf
HsqqQ, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, G, 3, 39, 39, 41
4UJ6B, B, 2, 39, 39, inf
Vl2tc, O, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
4p8dS, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
4p8dS, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
HEPJv, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
HEPJv, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
RuDQS, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
RuDQS, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
RuDQS, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
SQWho, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
SQWho, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
SQWho, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
ZqkG6, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
ZqkG6, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
ZqkG6, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
ZqkG6, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
mLfXv, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
mLfXv, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
mLfXv, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
Vl2tc, O, 3, 32, 39, inf
4UJ6B, B, 2, 39, 39, inf
Vl2tc, Y, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
4p8dS, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
4p8dS, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
HEPJv, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
HEPJv, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
RuDQS, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
RuDQS, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
RuDQS, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
SQWho, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
SQWho, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
SQWho, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
ZqkG6, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
ZqkG6, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
ZqkG6, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
ZqkG6, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
mLfXv, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
mLfXv, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
mLfXv, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
Vl2tc, Y, 3, 19, 39, inf
4UJ6B, B, 2, 39, 39, inf
ZqkG6, G, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, O, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
4p8dS, R, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
4p8dS, Y, 5, 19, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, G, 5, 41, 39, inf
4YVsA, G, 4, 41, 41, inf
66q9x, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, G, 5, 41, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, G, 5, 41, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, G, 5, 41, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
mLfXv, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
mLfXv, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
mLfXv, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
ZqkG6, G, 3, 41, 39, 41
4YVsA, O, 4, -inf, 39, 41
4p8dS, O, 5, 30, 39, 41
4YVsA, O, 4, 30, 39, 41
4p8dS, R, 5, 8, 39, 41
4YVsA, O, 4, 30, 39, 41
4p8dS, Y, 5, 17, 39, 41
4YVsA, O, 4, 30, 39, 41
66q9x, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
EfAlJ, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
EfAlJ, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
EfAlJ, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
HEPJv, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
HEPJv, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
HEPJv, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, G, 3, 39, 39, 41
4UJ6B, B, 2, 39, 39, inf
ZqkG6, O, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
4p8dS, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
4p8dS, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
66q9x, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
EfAlJ, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
HEPJv, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
HEPJv, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
HEPJv, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
HsqqQ, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
RuDQS, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
RuDQS, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
RuDQS, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
SQWho, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
SQWho, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
SQWho, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
Vl2tc, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
Vl2tc, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
Vl2tc, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
Vl2tc, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, B, 5, 12, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, O, 5, 23, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
eF3Ka, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
mLfXv, G, 5, 32, 39, inf
4YVsA, G, 4, 32, 39, inf
mLfXv, R, 5, 1, 39, inf
4YVsA, G, 4, 32, 39, inf
mLfXv, Y, 5, 10, 39, inf
4YVsA, G, 4, 32, 39, inf
ZqkG6, O, 3, 32, 39, inf
4UJ6B, B, 2, 39, 39, inf
ZqkG6, R, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, G, 5, 10, 39, inf
4YVsA, G, 4, 10, 39, inf
4p8dS, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
4p8dS, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
66q9x, G, 5, 10, 39, inf
4YVsA, G, 4, 10, 39, inf
66q9x, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
66q9x, R, 5, -21, 39, inf
4YVsA, G, 4, 10, 39, inf
66q9x, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
EfAlJ, B, 5, -10, 39, inf
4YVsA, G, 4, 10, 39, inf
EfAlJ, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
EfAlJ, R, 5, -21, 39, inf
4YVsA, G, 4, 10, 39, inf
EfAlJ, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
HEPJv, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
HEPJv, R, 5, -21, 39, inf
4YVsA, G, 4, 10, 39, inf
HEPJv, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
HsqqQ, B, 5, -10, 39, inf
4YVsA, G, 4, 10, 39, inf
HsqqQ, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
HsqqQ, R, 5, -21, 39, inf
4YVsA, G, 4, 10, 39, inf
HsqqQ, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
RuDQS, G, 5, 10, 39, inf
4YVsA, G, 4, 10, 39, inf
RuDQS, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
RuDQS, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
SQWho, G, 5, 10, 39, inf
4YVsA, G, 4, 10, 39, inf
SQWho, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
SQWho, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
Vl2tc, B, 5, -10, 39, inf
4YVsA, G, 4, 10, 39, inf
Vl2tc, G, 5, 10, 39, inf
4YVsA, G, 4, 10, 39, inf
Vl2tc, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
Vl2tc, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
eF3Ka, B, 5, -10, 39, inf
4YVsA, G, 4, 10, 39, inf
eF3Ka, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
eF3Ka, R, 5, -21, 39, inf
4YVsA, G, 4, 10, 39, inf
eF3Ka, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
mLfXv, G, 5, 10, 39, inf
4YVsA, G, 4, 10, 39, inf
mLfXv, O, 5, 1, 39, inf
4YVsA, G, 4, 10, 39, inf
mLfXv, Y, 5, -12, 39, inf
4YVsA, G, 4, 10, 39, inf
ZqkG6, R, 3, 10, 39, inf
4UJ6B, B, 2, 39, 39, inf
ZqkG6, Y, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
4p8dS, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
4p8dS, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
66q9x, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
EfAlJ, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
HEPJv, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
HEPJv, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
HEPJv, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
HsqqQ, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
RuDQS, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
RuDQS, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
RuDQS, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
SQWho, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
SQWho, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
SQWho, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
Vl2tc, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
Vl2tc, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
Vl2tc, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
Vl2tc, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, B, 5, -1, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
eF3Ka, Y, 5, -3, 39, inf
4YVsA, G, 4, 19, 39, inf
mLfXv, G, 5, 19, 39, inf
4YVsA, G, 4, 19, 39, inf
mLfXv, O, 5, 10, 39, inf
4YVsA, G, 4, 19, 39, inf
mLfXv, R, 5, -12, 39, inf
4YVsA, G, 4, 19, 39, inf
ZqkG6, Y, 3, 19, 39, inf
4UJ6B, B, 2, 39, 39, inf
mLfXv, G, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
4p8dS, G, 5, 41, 39, inf
4YVsA, G, 4, 41, 41, inf
4p8dS, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
4p8dS, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
4p8dS, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, G, 5, 41, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, G, 5, 41, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
ZqkG6, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
ZqkG6, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
ZqkG6, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
eF3Ka, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
mLfXv, G, 3, 41, 39, 41
4YVsA, O, 4, -inf, 39, 41
4p8dS, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
4p8dS, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
4p8dS, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
4p8dS, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
66q9x, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
EfAlJ, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
EfAlJ, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
EfAlJ, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
HEPJv, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
HEPJv, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
HEPJv, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
HsqqQ, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
RuDQS, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
SQWho, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
Vl2tc, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, O, 5, 30, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
ZqkG6, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, B, 5, 19, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, G, 5, 39, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, R, 5, 8, 39, 41
4YVsA, O, 4, 39, 39, 41
eF3Ka, Y, 5, 17, 39, 41
4YVsA, O, 4, 39, 39, 41
mLfXv, G, 3, 39, 39, 41
4UJ6B, B, 2, 39, 39, inf
